"date";"value"
"1962-01-02";4
"1962-01-03";4
"1962-01-04";4
"1962-01-05";4
"1962-01-08";4
"1962-01-09";4
"1962-01-10";4
"1962-01-11";4
"1962-01-12";4
"1962-01-15";4
"1962-01-16";4
"1962-01-17";4
"1962-01-18";4
"1962-01-19";4
"1962-01-22";4
"1962-01-23";4
"1962-01-24";4
"1962-01-25";4
"1962-01-26";4
"1962-01-29";4
"1962-01-30";4
"1962-01-31";4
"1962-02-01";4
"1962-02-02";4
"1962-02-05";4
"1962-02-06";4
"1962-02-07";4
"1962-02-08";4
"1962-02-09";4
"1962-02-12";0
"1962-02-13";4
"1962-02-14";4
"1962-02-15";4
"1962-02-16";4
"1962-02-19";4
"1962-02-20";4
"1962-02-21";4
"1962-02-22";0
"1962-02-23";4
"1962-02-26";4
"1962-02-27";4
"1962-02-28";4
"1962-03-01";4
"1962-03-02";4
"1962-03-05";4
"1962-03-06";4
"1962-03-07";4
"1962-03-08";4
"1962-03-09";4
"1962-03-12";4
"1962-03-13";4
"1962-03-14";4
"1962-03-15";4
"1962-03-16";4
"1962-03-19";4
"1962-03-20";4
"1962-03-21";4
"1962-03-22";4
"1962-03-23";4
"1962-03-26";4
"1962-03-27";4
"1962-03-28";4
"1962-03-29";4
"1962-03-30";4
"1962-04-02";4
"1962-04-03";4
"1962-04-04";4
"1962-04-05";4
"1962-04-06";4
"1962-04-09";4
"1962-04-10";4
"1962-04-11";4
"1962-04-12";4
"1962-04-13";4
"1962-04-16";4
"1962-04-17";4
"1962-04-18";4
"1962-04-19";4
"1962-04-20";0
"1962-04-23";4
"1962-04-24";4
"1962-04-25";4
"1962-04-26";4
"1962-04-27";4
"1962-04-30";4
"1962-05-01";4
"1962-05-02";4
"1962-05-03";4
"1962-05-04";4
"1962-05-07";4
"1962-05-08";4
"1962-05-09";4
"1962-05-10";4
"1962-05-11";4
"1962-05-14";4
"1962-05-15";4
"1962-05-16";4
"1962-05-17";4
"1962-05-18";4
"1962-05-21";4
"1962-05-22";4
"1962-05-23";4
"1962-05-24";4
"1962-05-25";4
"1962-05-28";4
"1962-05-29";4
"1962-05-30";0
"1962-05-31";4
"1962-06-01";4
"1962-06-04";4
"1962-06-05";4
"1962-06-06";4
"1962-06-07";4
"1962-06-08";4
"1962-06-11";4
"1962-06-12";4
"1962-06-13";4
"1962-06-14";4
"1962-06-15";4
"1962-06-18";4
"1962-06-19";4
"1962-06-20";4
"1962-06-21";4
"1962-06-22";4
"1962-06-25";4
"1962-06-26";4
"1962-06-27";4
"1962-06-28";4
"1962-06-29";4
"1962-07-02";4
"1962-07-03";4
"1962-07-04";0
"1962-07-05";4
"1962-07-06";4
"1962-07-09";4
"1962-07-10";4
"1962-07-11";4
"1962-07-12";4
"1962-07-13";4
"1962-07-16";4
"1962-07-17";4
"1962-07-18";4
"1962-07-19";4
"1962-07-20";4
"1962-07-23";4
"1962-07-24";4
"1962-07-25";4
"1962-07-26";4
"1962-07-27";4
"1962-07-30";4
"1962-07-31";4
"1962-08-01";4
"1962-08-02";4
"1962-08-03";4
"1962-08-06";4
"1962-08-07";4
"1962-08-08";4
"1962-08-09";4
"1962-08-10";4
"1962-08-13";4
"1962-08-14";4
"1962-08-15";4
"1962-08-16";4
"1962-08-17";4
"1962-08-20";4
"1962-08-21";4
"1962-08-22";4
"1962-08-23";4
"1962-08-24";4
"1962-08-27";4
"1962-08-28";4
"1962-08-29";4
"1962-08-30";4
"1962-08-31";4
"1962-09-03";0
"1962-09-04";4
"1962-09-05";4
"1962-09-06";4
"1962-09-07";4
"1962-09-10";4
"1962-09-11";4
"1962-09-12";4
"1962-09-13";4
"1962-09-14";4
"1962-09-17";4
"1962-09-18";4
"1962-09-19";4
"1962-09-20";4
"1962-09-21";4
"1962-09-24";4
"1962-09-25";4
"1962-09-26";4
"1962-09-27";4
"1962-09-28";4
"1962-10-01";4
"1962-10-02";4
"1962-10-03";4
"1962-10-04";4
"1962-10-05";4
"1962-10-08";4
"1962-10-09";4
"1962-10-10";4
"1962-10-11";4
"1962-10-12";0
"1962-10-15";4
"1962-10-16";4
"1962-10-17";4
"1962-10-18";4
"1962-10-19";4
"1962-10-22";4
"1962-10-23";4
"1962-10-24";4
"1962-10-25";4
"1962-10-26";4
"1962-10-29";4
"1962-10-30";4
"1962-10-31";4
"1962-11-01";4
"1962-11-02";4
"1962-11-05";4
"1962-11-06";0
"1962-11-07";4
"1962-11-08";4
"1962-11-09";4
"1962-11-12";0
"1962-11-13";4
"1962-11-14";4
"1962-11-15";4
"1962-11-16";4
"1962-11-19";4
"1962-11-20";4
"1962-11-21";4
"1962-11-22";0
"1962-11-23";4
"1962-11-26";4
"1962-11-27";4
"1962-11-28";4
"1962-11-29";4
"1962-11-30";4
"1962-12-03";4
"1962-12-04";4
"1962-12-05";4
"1962-12-06";4
"1962-12-07";4
"1962-12-10";4
"1962-12-11";4
"1962-12-12";4
"1962-12-13";4
"1962-12-14";4
"1962-12-17";4
"1962-12-18";4
"1962-12-19";4
"1962-12-20";4
"1962-12-21";4
"1962-12-24";4
"1962-12-25";0
"1962-12-26";4
"1962-12-27";4
"1962-12-28";4
"1962-12-31";4
"1963-01-01";0
"1963-01-02";4
"1963-01-03";4
"1963-01-04";4
"1963-01-07";4
"1963-01-08";4
"1963-01-09";4
"1963-01-10";4
"1963-01-11";4
"1963-01-14";4
"1963-01-15";4
"1963-01-16";4
"1963-01-17";4
"1963-01-18";4
"1963-01-21";4
"1963-01-22";4
"1963-01-23";4
"1963-01-24";4
"1963-01-25";4
"1963-01-28";4
"1963-01-29";4
"1963-01-30";4
"1963-01-31";4
"1963-02-01";4
"1963-02-04";4
"1963-02-05";4
"1963-02-06";4
"1963-02-07";4
"1963-02-08";4
"1963-02-11";4
"1963-02-12";0
"1963-02-13";4
"1963-02-14";4
"1963-02-15";4
"1963-02-18";4
"1963-02-19";4
"1963-02-20";4
"1963-02-21";4
"1963-02-22";0
"1963-02-25";4
"1963-02-26";4
"1963-02-27";4
"1963-02-28";4
"1963-03-01";4
"1963-03-04";4
"1963-03-05";4
"1963-03-06";4
"1963-03-07";4
"1963-03-08";4
"1963-03-11";4
"1963-03-12";4
"1963-03-13";4
"1963-03-14";4
"1963-03-15";4
"1963-03-18";4
"1963-03-19";4
"1963-03-20";4
"1963-03-21";4
"1963-03-22";4
"1963-03-25";4
"1963-03-26";4
"1963-03-27";4
"1963-03-28";4
"1963-03-29";4
"1963-04-01";4
"1963-04-02";4
"1963-04-03";4
"1963-04-04";4
"1963-04-05";4
"1963-04-08";4
"1963-04-09";4
"1963-04-10";4
"1963-04-11";4
"1963-04-12";0
"1963-04-15";4
"1963-04-16";4
"1963-04-17";4
"1963-04-18";4
"1963-04-19";4
"1963-04-22";4
"1963-04-23";4
"1963-04-24";4
"1963-04-25";4
"1963-04-26";4
"1963-04-29";4
"1963-04-30";4
"1963-05-01";4
"1963-05-02";4
"1963-05-03";4
"1963-05-06";4
"1963-05-07";4
"1963-05-08";4
"1963-05-09";4
"1963-05-10";4
"1963-05-13";4
"1963-05-14";4
"1963-05-15";4
"1963-05-16";4
"1963-05-17";4
"1963-05-20";4
"1963-05-21";4
"1963-05-22";4
"1963-05-23";4
"1963-05-24";4
"1963-05-27";4
"1963-05-28";4
"1963-05-29";4
"1963-05-30";0
"1963-05-31";4
"1963-06-03";4
"1963-06-04";4
"1963-06-05";4
"1963-06-06";4
"1963-06-07";4
"1963-06-10";4
"1963-06-11";4
"1963-06-12";4
"1963-06-13";4
"1963-06-14";4
"1963-06-17";4
"1963-06-18";4
"1963-06-19";4
"1963-06-20";4
"1963-06-21";4
"1963-06-24";4
"1963-06-25";4
"1963-06-26";4
"1963-06-27";4
"1963-06-28";4
"1963-07-01";4
"1963-07-02";4
"1963-07-03";4
"1963-07-04";0
"1963-07-05";4
"1963-07-08";4
"1963-07-09";4
"1963-07-10";4
"1963-07-11";4
"1963-07-12";4
"1963-07-15";4
"1963-07-16";4
"1963-07-17";4
"1963-07-18";4
"1963-07-19";4
"1963-07-22";4
"1963-07-23";4
"1963-07-24";4
"1963-07-25";4
"1963-07-26";4
"1963-07-29";4
"1963-07-30";4
"1963-07-31";4
"1963-08-01";4
"1963-08-02";4
"1963-08-05";4
"1963-08-06";4
"1963-08-07";4
"1963-08-08";4
"1963-08-09";4
"1963-08-12";4
"1963-08-13";4
"1963-08-14";4
"1963-08-15";4
"1963-08-16";4
"1963-08-19";4
"1963-08-20";4
"1963-08-21";4
"1963-08-22";4
"1963-08-23";4
"1963-08-26";4
"1963-08-27";4
"1963-08-28";4
"1963-08-29";4
"1963-08-30";4
"1963-09-02";0
"1963-09-03";4
"1963-09-04";4
"1963-09-05";4
